epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3860.01,0.95118,0.71697,1.40045,0.962,0.94302,0.97973,0.72166,0.94453,0.46396,1.3448,0.0067,0.0067,0.0067
43,3951.83,0.96124,0.71512,1.40685,0.96254,0.93876,0.97793,0.73579,0.91508,0.46371,1.3215,0.00661951,0.00661951,0.00661951
44,4043.73,0.94358,0.71657,1.39768,0.95964,0.9538,0.98276,0.7357,0.9176,0.44744,1.32627,0.00653902,0.00653902,0.00653902
45,4135.53,0.94048,0.69905,1.39236,0.97411,0.94328,0.97926,0.72626,0.92615,0.4655,1.34256,0.00645854,0.00645854,0.00645854
46,4227.37,0.93739,0.69191,1.38412,0.95499,0.95487,0.98059,0.73628,0.91693,0.43182,1.31877,0.00637805,0.00637805,0.00637805
47,4319.18,0.94399,0.69039,1.38158,0.96087,0.94126,0.97967,0.74344,0.89903,0.43703,1.30813,0.00629756,0.00629756,0.00629756
48,4411.15,0.93306,0.69374,1.38635,0.97198,0.94269,0.98056,0.74315,0.88482,0.46841,1.29097,0.00621707,0.00621707,0.00621707
49,4502.83,0.92505,0.67673,1.37437,0.9671,0.94766,0.98153,0.74272,0.89146,0.42382,1.30202,0.00613659,0.00613659,0.00613659
50,4594.48,0.93042,0.66834,1.3821,0.96428,0.94762,0.98061,0.74839,0.88476,0.42564,1.28943,0.0060561,0.0060561,0.0060561
51,4686.12,0.93067,0.68748,1.38451,0.97358,0.95019,0.9834,0.74246,0.90697,0.41409,1.31379,0.00597561,0.00597561,0.00597561
52,4777.86,0.92072,0.67234,1.37584,0.97217,0.95057,0.98351,0.74501,0.88321,0.43014,1.28229,0.00589512,0.00589512,0.00589512
53,4869.67,0.90719,0.65989,1.36342,0.96946,0.95509,0.98564,0.75376,0.87187,0.39555,1.26973,0.00581463,0.00581463,0.00581463
54,4961.38,0.90996,0.66043,1.36393,0.96674,0.95767,0.98661,0.75082,0.87152,0.40248,1.271,0.00573415,0.00573415,0.00573415
55,5053.09,0.90682,0.6554,1.36197,0.97413,0.95774,0.98642,0.7605,0.87812,0.40632,1.29044,0.00565366,0.00565366,0.00565366
56,5144.82,0.8789,0.63593,1.34429,0.9681,0.95639,0.98641,0.75927,0.85849,0.38803,1.25643,0.00557317,0.00557317,0.00557317
57,5236.58,0.8785,0.65863,1.34303,0.9679,0.9505,0.98309,0.74244,0.89264,0.40888,1.29615,0.00549268,0.00549268,0.00549268
58,5328.44,0.90419,0.64952,1.35864,0.97283,0.94893,0.98581,0.75211,0.86209,0.40429,1.25851,0.0054122,0.0054122,0.0054122
59,5420.27,0.89444,0.63835,1.35056,0.96727,0.95271,0.98417,0.75223,0.87068,0.40608,1.27586,0.00533171,0.00533171,0.00533171
60,5512.02,0.88541,0.62333,1.34809,0.96861,0.95917,0.9868,0.75845,0.87229,0.41856,1.26576,0.00525122,0.00525122,0.00525122
61,5603.94,0.88554,0.63681,1.34475,0.97994,0.94556,0.98779,0.76724,0.85983,0.40801,1.26803,0.00517073,0.00517073,0.00517073
62,5695.77,0.88438,0.62804,1.33963,0.97546,0.95415,0.98699,0.75976,0.85053,0.39831,1.24912,0.00509024,0.00509024,0.00509024
63,5787.7,0.87303,0.60708,1.33204,0.96551,0.96249,0.9888,0.76685,0.84693,0.38535,1.24039,0.00500976,0.00500976,0.00500976
64,5879.61,0.86509,0.617,1.322,0.96261,0.95902,0.98784,0.76812,0.8371,0.38672,1.23639,0.00492927,0.00492927,0.00492927
65,5971.45,0.84857,0.60186,1.31873,0.95575,0.9692,0.98846,0.76718,0.84167,0.37845,1.24091,0.00484878,0.00484878,0.00484878
66,6063.39,0.86882,0.61301,1.32583,0.96878,0.95917,0.9883,0.76756,0.83612,0.38798,1.22891,0.00476829,0.00476829,0.00476829
67,6155.09,0.86435,0.59475,1.32859,0.97528,0.96072,0.98912,0.77322,0.83829,0.38031,1.22911,0.0046878,0.0046878,0.0046878
68,6246.82,0.85001,0.59705,1.31602,0.96031,0.97053,0.98855,0.77285,0.83509,0.38742,1.2318,0.00460732,0.00460732,0.00460732
69,6338.63,0.85209,0.59673,1.31662,0.96442,0.96562,0.98794,0.77482,0.82706,0.36712,1.23039,0.00452683,0.00452683,0.00452683
70,6430.48,0.84656,0.59923,1.31579,0.96966,0.96777,0.98777,0.77215,0.83034,0.37108,1.22992,0.00444634,0.00444634,0.00444634
